                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.083,                 2.6208,                 1.2075,                0.84613,                0.76988,                0.83572,                0.64095,                0.85451,                 1.0957,                 1.0312,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.0298,                 1.1478,                 1.1815,                0.81534,                  0.664,                0.73517,                0.53453,                 1.0602,                 1.0609,                  1.192,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.1604,                 1.1626,                 1.2617,                0.51564,                   0.35,                0.35258,                0.20099,                 1.7306,                 2.4552,                  1.666,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.1863,                 1.1592,                 1.2926,                0.81942,                0.75326,                0.80169,                0.56365,                 1.0451,                 0.9161,                  1.201,               0.009703,               0.009703,               0.009703
                      5,                 1.0891,                 1.0282,                 1.2369,                0.84365,                  0.754,                0.81332,                0.58517,                0.98788,                0.87169,                 1.1618,               0.009604,               0.009604,               0.009604
                      6,                 1.0196,                0.95304,                 1.2037,                  0.883,                0.79999,                0.86251,                0.67322,                0.85464,                 0.7311,                 1.0756,               0.009505,               0.009505,               0.009505
                      7,                0.97656,                0.89795,                  1.177,                0.89874,                0.79882,                0.87303,                0.68815,                0.78837,                0.70899,                 1.0403,               0.009406,               0.009406,               0.009406
                      8,                0.94589,                 0.8545,                 1.1569,                0.92389,                  0.848,                 0.9079,                0.73021,                0.74461,                 0.5868,                  1.006,               0.009307,               0.009307,               0.009307
                      9,                0.92734,                0.82889,                 1.1519,                0.92635,                   0.83,                0.89697,                0.72194,                0.77376,                0.58709,                 1.0345,               0.009208,               0.009208,               0.009208
                     10,                0.90679,                 0.8043,                 1.1353,                0.91552,                0.84527,                0.91242,                0.74434,                0.72038,                0.58125,                0.99843,               0.009109,               0.009109,               0.009109
                     11,                0.89166,                0.78986,                 1.1303,                  0.925,                  0.832,                0.91552,                0.72104,                0.76169,                0.57166,                 1.0206,                0.00901,                0.00901,                0.00901
