                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0198,                 1.3559,                 1.1296,                  0.874,                  0.782,                0.83252,                0.63921,                0.85087,                0.66611,                  1.014,              0.0033251,              0.0033251,              0.0033251
                      2,                0.98216,                0.87157,                 1.0996,                0.82659,                  0.672,                0.75307,                0.52754,                 1.0067,                 1.0353,                  1.081,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.1688,                 1.0649,                 1.1899,                0.70026,                  0.646,                0.67642,                0.45679,                   1.22,                 1.4451,                 1.2293,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.2271,                 1.1326,                 1.2352,                0.78644,                   0.75,                0.77339,                0.54938,                 1.0483,                0.88206,                 1.1529,               0.009703,               0.009703,               0.009703
                      5,                 1.1355,                 1.0253,                 1.1947,                0.85543,                  0.778,                0.82409,                0.59743,                0.95468,                0.80319,                 1.0817,               0.009604,               0.009604,               0.009604
                      6,                 1.0603,                0.93777,                 1.1577,                0.89208,                  0.836,                0.89051,                0.66812,                0.86892,                0.64201,                 1.0189,               0.009505,               0.009505,               0.009505
                      7,                 1.0077,                0.88736,                 1.1343,                0.88948,                0.82092,                0.87915,                0.67152,                0.82994,                0.63929,                 1.0113,               0.009406,               0.009406,               0.009406
                      8,                0.97602,                 0.8486,                 1.1146,                0.92584,                  0.852,                0.89512,                0.69674,                0.79095,                0.58396,                0.99727,               0.009307,               0.009307,               0.009307
                      9,                0.95838,                0.83271,                 1.1076,                0.93648,                0.82559,                0.90303,                0.70949,                0.77893,                0.57577,                0.97807,               0.009208,               0.009208,               0.009208
                     10,                0.92682,                0.79529,                 1.0906,                0.93432,                  0.824,                0.90013,                0.72431,                0.73105,                0.54784,                0.95844,               0.009109,               0.009109,               0.009109
                     11,                0.91656,                0.78336,                 1.0836,                0.92564,                  0.846,                0.91601,                0.74419,                0.68624,                0.52015,                0.93605,                0.00901,                0.00901,                0.00901
                     12,                0.89475,                0.76592,                 1.0741,                0.94569,                  0.854,                0.92552,                0.75548,                 0.6722,                0.49134,                0.93037,               0.008911,               0.008911,               0.008911
                     13,                0.87603,                0.74653,                 1.0638,                 0.9263,                  0.866,                0.92275,                0.75544,                0.66512,                0.47938,                0.92007,               0.008812,               0.008812,               0.008812
                     14,                0.86822,                0.73462,                   1.06,                0.93409,                0.87864,                0.92874,                0.76613,                0.64122,                0.46606,                 0.9059,               0.008713,               0.008713,               0.008713
                     15,                 0.8575,                0.72727,                 1.0551,                0.95731,                 0.8521,                0.93126,                0.77286,                0.62133,                0.43978,                0.90044,               0.008614,               0.008614,               0.008614
                     16,                0.84881,                 0.7233,                 1.0548,                0.94828,                0.88004,                0.93873,                0.77556,                 0.6136,                0.43926,                 0.8962,               0.008515,               0.008515,               0.008515
                     17,                0.83411,                0.70597,                 1.0432,                0.95375,                  0.882,                 0.9474,                0.78876,                0.60418,                0.41729,                0.90163,               0.008416,               0.008416,               0.008416
                     18,                0.82657,                0.70173,                 1.0415,                0.95873,                0.88271,                0.94153,                0.79143,                0.58657,                0.40468,                 0.8935,               0.008317,               0.008317,               0.008317
                     19,                0.81683,                0.68894,                 1.0332,                0.96051,                0.87554,                0.94371,                0.79818,                 0.5768,                0.40359,                0.88052,               0.008218,               0.008218,               0.008218
                     20,                0.81639,                0.67941,                 1.0317,                0.95924,                  0.878,                0.94596,                0.80163,                 0.5667,                0.39516,                0.87392,               0.008119,               0.008119,               0.008119
                     21,                0.80912,                0.67338,                 1.0281,                0.92948,                  0.892,                0.94972,                0.80863,                0.54116,                0.38821,                 0.8597,                0.00802,                0.00802,                0.00802
                     22,                0.80921,                0.67435,                 1.0303,                0.94276,                0.88934,                0.94474,                0.80784,                0.53883,                 0.3822,                0.86132,               0.007921,               0.007921,               0.007921
                     23,                0.80422,                0.67531,                 1.0272,                0.95508,                  0.884,                0.94987,                0.81916,                0.52663,                 0.3775,                0.85271,               0.007822,               0.007822,               0.007822
                     24,                0.79889,                 0.6678,                 1.0234,                0.95824,                  0.886,                0.95271,                0.81798,                0.51808,                0.37305,                0.85505,               0.007723,               0.007723,               0.007723
                     25,                0.79198,                0.65788,                 1.0207,                0.97354,                 0.8832,                0.95258,                0.82169,                0.51154,                0.36164,                0.84574,               0.007624,               0.007624,               0.007624
                     26,                0.78491,                0.65715,                 1.0202,                0.97973,                0.87016,                0.95383,                0.82325,                    0.5,                0.35104,                0.84449,               0.007525,               0.007525,               0.007525
                     27,                0.77332,                0.64685,                  1.015,                0.96524,                0.88858,                0.96183,                0.82626,                0.49524,                0.34363,                0.84232,               0.007426,               0.007426,               0.007426
                     28,                0.77719,                0.64704,                 1.0174,                0.95753,                0.90178,                0.96324,                0.83134,                 0.5002,                0.34097,                0.83957,               0.007327,               0.007327,               0.007327
                     29,                0.76743,                 0.6359,                 1.0123,                0.95916,                0.89242,                 0.9606,                0.82914,                0.49034,                0.34424,                0.83657,               0.007228,               0.007228,               0.007228
                     30,                0.76085,                 0.6343,                  1.008,                 0.9715,                0.88635,                 0.9609,                0.83518,                0.48438,                0.33665,                0.83729,               0.007129,               0.007129,               0.007129
                     31,                0.75699,                0.62737,                 1.0036,                0.96729,                  0.888,                0.96279,                0.83341,                0.47918,                0.33804,                0.83688,                0.00703,                0.00703,                0.00703
