                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2083,                 1.8569,                 1.1796,                0.73369,                0.72731,                0.76454,                0.51349,                 1.1617,                 1.1531,                   1.12,             0.00066502,             0.00066502,             0.00066502
                      2,                 1.2141,                 1.1565,                 1.1918,                0.75171,                0.67816,                0.72407,                0.48615,                  1.214,                 1.1416,                 1.1651,              0.0012493,              0.0012493,              0.0012493
                      3,                  1.223,                 1.1149,                 1.1972,                0.83072,                0.72629,                0.78613,                0.51597,                 1.1616,                0.94553,                 1.1292,              0.0017511,              0.0017511,              0.0017511
                      4,                 1.1615,                 1.0499,                 1.1704,                0.82985,                   0.77,                0.82699,                0.60486,                 1.0045,                0.82118,                 1.0665,              0.0016287,              0.0016287,              0.0016287
                      5,                 1.1024,                0.97611,                 1.1453,                0.86279,                0.75458,                0.84758,                0.63718,                0.89947,                0.76474,                 1.0022,               0.001505,               0.001505,               0.001505
                      6,                 1.0365,                0.90095,                 1.1161,                0.87262,                0.82206,                0.88041,                0.66324,                0.86079,                0.66702,                0.98647,              0.0013813,              0.0013813,              0.0013813
                      7,                0.96632,                0.76811,                 1.0806,                 0.8947,                0.84971,                0.89043,                0.67156,                0.85004,                 0.6542,                 0.9936,              0.0012575,              0.0012575,              0.0012575
                      8,                0.92698,                0.71896,                 1.0607,                0.88681,                0.84616,                0.88728,                0.68257,                0.82292,                0.62151,                0.97252,              0.0011337,              0.0011337,              0.0011337
                      9,                 0.8973,                0.68835,                  1.044,                0.89837,                0.84856,                 0.9029,                0.70992,                0.77069,                 0.5706,                0.95139,                0.00101,                0.00101,                0.00101
                     10,                0.86844,                0.65915,                  1.035,                0.91819,                  0.852,                 0.9118,                0.72668,                0.71997,                0.53912,                0.93141,             0.00088625,             0.00088625,             0.00088625
                     11,                0.83536,                0.62376,                 1.0173,                0.92127,                  0.866,                0.91172,                0.73169,                0.72016,                0.51569,                0.92146,              0.0007625,              0.0007625,              0.0007625
                     12,                0.81129,                0.60084,                 1.0063,                0.93181,                  0.876,                0.92915,                0.75624,                0.66419,                0.48854,                0.88966,             0.00063875,             0.00063875,             0.00063875
                     13,                0.78692,                0.57976,                0.99362,                0.94532,                  0.864,                0.93093,                0.76912,                0.64402,                0.45895,                0.88792,               0.000515,               0.000515,               0.000515
                     14,                0.76474,                0.55988,                0.98605,                0.93199,                0.87701,                0.93121,                0.77257,                0.62463,                0.45921,                0.86932,             0.00039125,             0.00039125,             0.00039125
                     15,                0.74105,                0.53719,                0.97692,                0.93745,                  0.882,                0.93687,                0.77612,                0.61058,                0.44886,                0.87108,              0.0002675,              0.0002675,              0.0002675
                     16,                 0.7179,                0.51705,                0.96617,                0.93476,                  0.884,                 0.9396,                0.78428,                0.59356,                 0.4293,                0.86419,             0.00014375,             0.00014375,             0.00014375
