                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62736,                0.50361,                 1.0016,                0.96209,                  0.918,                0.97156,                0.84986,                0.49375,                0.32245,                0.86777,              0.0033251,              0.0033251,              0.0033251
                      2,                0.64095,                0.51997,                0.99461,                0.97172,                0.89349,                0.96815,                0.83328,                0.53502,                0.38127,                0.89528,              0.0065925,              0.0065925,              0.0065925
                      3,                0.70589,                0.59122,                 1.0272,                0.90763,                  0.862,                0.93018,                0.77297,                0.67086,                0.50182,                0.97012,              0.0097939,              0.0097939,              0.0097939
                      4,                0.77074,                0.66427,                 1.0599,                0.93224,                0.88057,                0.93713,                0.77994,                0.63968,                0.49696,                0.95195,               0.009703,               0.009703,               0.009703
                      5,                0.77907,                0.66494,                 1.0626,                 0.9047,                   0.87,                0.93458,                0.76845,                0.66701,                  0.514,                0.96986,               0.009604,               0.009604,               0.009604
                      6,                0.77333,                0.66635,                 1.0616,                0.93599,                0.87738,                0.94026,                0.77122,                0.66621,                 0.4945,                0.95556,               0.009505,               0.009505,               0.009505
                      7,                0.76997,                 0.6626,                 1.0581,                0.93323,                  0.892,                0.95003,                0.79807,                0.61486,                 0.4635,                0.93152,               0.009406,               0.009406,               0.009406
                      8,                0.76854,                0.65765,                 1.0553,                0.92128,                  0.872,                0.93771,                0.78941,                0.61584,                0.49805,                0.93795,               0.009307,               0.009307,               0.009307
                      9,                0.76847,                0.65879,                 1.0602,                0.96182,                  0.892,                0.95834,                0.80815,                0.60024,                0.43983,                0.91746,               0.009208,               0.009208,               0.009208
                     10,                0.75835,                0.64793,                 1.0506,                0.94196,                0.87633,                0.94952,                0.81071,                0.61016,                0.43734,                0.93706,               0.009109,               0.009109,               0.009109
                     11,                0.75432,                0.64818,                 1.0494,                0.95975,                  0.882,                0.95624,                0.80581,                 0.5963,                0.43242,                0.91939,                0.00901,                0.00901,                0.00901
                     12,                0.75278,                0.63802,                 1.0454,                0.95097,                  0.874,                0.94753,                0.80928,                 0.5833,                0.45033,                 0.9205,               0.008911,               0.008911,               0.008911
                     13,                0.74748,                0.63142,                 1.0472,                0.96381,                  0.886,                0.96132,                0.81651,                0.57824,                0.39278,                0.91033,               0.008812,               0.008812,               0.008812
                     14,                0.73974,                0.62441,                 1.0405,                 0.9587,                0.88201,                0.96002,                0.83108,                0.54672,                0.40053,                0.88766,               0.008713,               0.008713,               0.008713
                     15,                0.74463,                0.62572,                 1.0436,                 0.9676,                  0.902,                0.96421,                0.82422,                0.55732,                0.39908,                0.90375,               0.008614,               0.008614,               0.008614
                     16,                0.73582,                0.62026,                 1.0384,                0.96336,                0.89388,                0.96624,                0.83604,                0.54216,                0.38107,                0.88427,               0.008515,               0.008515,               0.008515
                     17,                0.73882,                0.61937,                 1.0408,                0.97379,                0.89156,                0.96343,                0.83822,                0.53347,                0.37042,                0.88777,               0.008416,               0.008416,               0.008416
                     18,                0.73556,                0.61807,                  1.038,                0.94939,                  0.914,                0.96807,                0.84669,                0.51256,                0.35958,                0.87424,               0.008317,               0.008317,               0.008317
                     19,                0.73053,                0.61362,                 1.0352,                0.96983,                   0.91,                   0.97,                0.85065,                0.51173,                0.34371,                0.87125,               0.008218,               0.008218,               0.008218
                     20,                0.72739,                0.60528,                 1.0359,                0.96615,                0.91344,                0.97197,                 0.8574,                0.48796,                0.34294,                0.86018,               0.008119,               0.008119,               0.008119
                     21,                 0.7278,                0.60869,                 1.0331,                0.94874,                0.92548,                0.97141,                0.85753,                 0.4885,                0.34075,                0.86055,                0.00802,                0.00802,                0.00802
                     22,                0.72149,                0.60618,                 1.0315,                0.96049,                0.92384,                0.97453,                0.86238,                0.48712,                0.32855,                0.86383,               0.007921,               0.007921,               0.007921
                     23,                0.72426,                0.60473,                  1.035,                0.97452,                0.91806,                0.97313,                0.86071,                  0.486,                 0.3313,                0.86142,               0.007822,               0.007822,               0.007822
                     24,                0.71471,                 0.6003,                 1.0272,                0.95832,                  0.934,                0.97476,                0.85701,                0.48724,                0.32892,                0.86088,               0.007723,               0.007723,               0.007723
                     25,                0.71084,                0.59602,                 1.0236,                0.97013,                  0.922,                0.97493,                0.86433,                0.47779,                0.31375,                0.85589,               0.007624,               0.007624,               0.007624
                     26,                0.71656,                0.59582,                 1.0282,                0.97157,                  0.924,                0.97755,                0.86269,                0.46464,                0.31137,                0.84808,               0.007525,               0.007525,               0.007525
                     27,                0.70502,                0.59531,                 1.0237,                0.98355,                  0.914,                0.97727,                0.87028,                0.45497,                  0.315,                0.84315,               0.007426,               0.007426,               0.007426
                     28,                0.71088,                0.59146,                 1.0244,                0.97724,                  0.918,                0.97881,                0.87355,                0.46119,                0.30948,                0.84151,               0.007327,               0.007327,               0.007327
                     29,                0.70258,                0.58406,                 1.0181,                0.97659,                0.91784,                0.97478,                 0.8694,                0.46116,                0.30646,                0.84168,               0.007228,               0.007228,               0.007228
                     30,                0.69954,                0.58044,                 1.0191,                0.98058,                0.90885,                 0.9769,                0.87451,                 0.4505,                 0.3007,                 0.8366,               0.007129,               0.007129,               0.007129
                     31,                0.69891,                0.58472,                 1.0204,                0.96475,                0.93051,                0.97799,                0.87749,                0.44272,                0.30446,                0.83473,                0.00703,                0.00703,                0.00703
                     32,                 0.6936,                 0.5788,                 1.0168,                0.96162,                  0.936,                0.97709,                0.87753,                0.44057,                0.29846,                 0.8329,               0.006931,               0.006931,               0.006931
                     33,                0.69123,                 0.5746,                  1.016,                0.97263,                0.92396,                0.97898,                0.87728,                0.43808,                0.29817,                0.82979,               0.006832,               0.006832,               0.006832
                     34,                 0.6862,                0.56718,                 1.0117,                0.96692,                   0.93,                0.97979,                0.88018,                0.43725,                0.29523,                0.83036,               0.006733,               0.006733,               0.006733
                     35,                0.69352,                0.57707,                 1.0166,                0.98032,                   0.92,                0.97915,                0.87992,                0.44003,                0.29468,                0.83246,               0.006634,               0.006634,               0.006634
                     36,                0.68784,                0.57835,                 1.0155,                0.98086,                0.92266,                  0.979,                0.87934,                 0.4418,                0.29349,                0.83382,               0.006535,               0.006535,               0.006535
                     37,                0.68376,                0.56788,                 1.0128,                0.95777,                  0.942,                0.97932,                0.88072,                0.44104,                 0.2908,                 0.8343,               0.006436,               0.006436,               0.006436
