                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65165,                0.56475,                 1.0215,                 0.9832,                0.93632,                0.98395,                0.88939,                0.41026,                0.27306,                0.80326,               0.008812,               0.008812,               0.008812
                     38,                0.65364,                0.56735,                 1.0235,                0.97914,                0.93888,                0.98303,                0.89124,                0.41368,                0.27097,                 0.8049,               0.008779,               0.008779,               0.008779
                     39,                0.65718,                0.56689,                 1.0242,                0.97723,                0.94402,                0.98473,                0.89068,                0.41312,                0.27046,                0.80536,               0.008746,               0.008746,               0.008746
                     40,                0.64999,                0.56475,                 1.0233,                0.97329,                0.94725,                0.98519,                0.89243,                0.41029,                0.26705,                0.80302,               0.008713,               0.008713,               0.008713
                     41,                0.64937,                 0.5612,                 1.0203,                0.97257,                  0.948,                0.98478,                0.89276,                0.40865,                0.26692,                0.80216,                0.00868,                0.00868,                0.00868
                     42,                0.64367,                0.55598,                  1.017,                0.97438,                  0.946,                0.98486,                0.89208,                0.41018,                0.26593,                0.80263,               0.008647,               0.008647,               0.008647
                     43,                0.64717,                0.56533,                 1.0241,                0.96968,                  0.946,                 0.9851,                0.89141,                0.41016,                0.26545,                0.80197,               0.008614,               0.008614,               0.008614
                     44,                0.64742,                0.56101,                 1.0224,                0.97335,                0.94949,                0.98498,                0.89218,                0.40958,                0.26538,                 0.8013,               0.008581,               0.008581,               0.008581
                     45,                0.64778,                0.55848,                 1.0186,                0.96834,                  0.954,                0.98474,                0.89124,                0.40853,                0.26527,                0.80079,               0.008548,               0.008548,               0.008548
                     46,                0.64872,                0.55842,                 1.0203,                0.96585,                  0.954,                0.98483,                0.89292,                0.40967,                0.26649,                0.80083,               0.008515,               0.008515,               0.008515
                     47,                0.65084,                0.55805,                 1.0216,                0.96861,                  0.954,                 0.9858,                0.89284,                0.40933,                0.26617,                0.80059,               0.008482,               0.008482,               0.008482
                     48,                0.64209,                 0.5526,                 1.0208,                0.96798,                  0.954,                0.98566,                0.89147,                0.40974,                0.26747,                0.80111,               0.008449,               0.008449,               0.008449
                     49,                0.64539,                0.55883,                 1.0218,                0.96926,                  0.946,                0.98449,                0.89145,                0.40965,                0.26674,                0.80141,               0.008416,               0.008416,               0.008416
