                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0233,                  1.333,                 1.1935,                0.85267,                  0.814,                0.85524,                 0.6554,                0.85135,                0.73337,                 1.0339,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.0133,                0.92406,                 1.1688,                0.85796,                  0.764,                0.82253,                0.61015,                0.94887,                0.82881,                 1.1086,              0.0065306,              0.0065306,              0.0065306
                      3,                 1.1497,                 1.0856,                 1.2432,                0.72844,                  0.602,                0.64423,                0.41765,                 1.3628,                 1.3322,                 1.3478,                 0.0096,                 0.0096,                 0.0096
                      4,                 1.2376,                 1.1696,                 1.3055,                0.83014,                   0.77,                0.83312,                0.59816,                0.99063,                0.85143,                 1.1392,               0.009406,               0.009406,               0.009406
                      5,                 1.1344,                   1.06,                 1.2498,                0.82207,                0.79469,                0.84587,                0.62444,                0.94358,                0.77364,                 1.1159,               0.009208,               0.009208,               0.009208
                      6,                 1.0565,                0.96451,                 1.2032,                0.89037,                0.82843,                0.88738,                0.68334,                0.86373,                0.67642,                 1.0698,                0.00901,                0.00901,                0.00901
                      7,                 1.0151,                0.91515,                 1.1815,                0.88798,                  0.842,                0.89402,                0.70209,                 0.8121,                0.66442,                 1.0309,               0.008812,               0.008812,               0.008812
                      8,                0.97198,                0.87215,                 1.1602,                0.91694,                  0.838,                0.91385,                0.72157,                0.77691,                0.62184,                 1.0068,               0.008614,               0.008614,               0.008614
                      9,                0.95583,                0.84878,                 1.1495,                0.90827,                   0.85,                0.91372,                0.73356,                0.76255,                0.57822,                 1.0086,               0.008416,               0.008416,               0.008416
                     10,                0.92805,                0.81392,                  1.137,                0.90039,                  0.874,                0.93278,                0.76194,                0.70286,                0.52796,                 0.9677,               0.008218,               0.008218,               0.008218
                     11,                0.89762,                0.78647,                 1.1185,                0.92188,                  0.868,                0.92576,                0.76398,                0.68653,                0.53034,                 0.9601,                0.00802,                0.00802,                0.00802
                     12,                0.88235,                0.76984,                 1.1128,                0.94771,                  0.858,                0.93189,                0.77463,                0.66551,                 0.5098,                0.95499,               0.007822,               0.007822,               0.007822
                     13,                0.87009,                0.75058,                 1.1054,                  0.952,                 0.8727,                0.94156,                0.79034,                0.63632,                0.47044,                0.93989,               0.007624,               0.007624,               0.007624
                     14,                0.85546,                0.73732,                  1.097,                0.93534,                   0.88,                0.94043,                0.79661,                0.63485,                0.46199,                0.94671,               0.007426,               0.007426,               0.007426
                     15,                0.84008,                0.73077,                 1.0904,                0.95833,                  0.878,                0.94599,                0.80214,                0.61081,                0.45119,                0.92109,               0.007228,               0.007228,               0.007228
                     16,                0.82348,                0.71349,                 1.0818,                0.93853,                   0.88,                0.94274,                0.79721,                0.60541,                0.45238,                0.92504,                0.00703,                0.00703,                0.00703
                     17,                0.81359,                0.70107,                 1.0766,                0.94828,                   0.89,                0.94742,                0.80942,                0.58633,                0.43216,                0.91917,               0.006832,               0.006832,               0.006832
                     18,                0.79466,                 0.6818,                  1.061,                0.93475,                0.88815,                 0.9531,                0.82111,                0.56619,                0.42566,                  0.906,               0.006634,               0.006634,               0.006634
                     19,                0.78268,                0.67039,                 1.0581,                0.95463,                0.88364,                0.95419,                0.81987,                0.55944,                0.41789,                0.90333,               0.006436,               0.006436,               0.006436
                     20,                0.77865,                0.66334,                 1.0543,                0.95099,                  0.888,                0.95814,                0.83307,                0.53293,                 0.3969,                0.88939,               0.006238,               0.006238,               0.006238
