                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1321,                 2.1297,                 1.1446,                0.84826,                  0.742,                0.80016,                0.57663,                0.94837,                 1.1563,                0.98079,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.0961,                 1.1821,                  1.133,                0.77964,                0.71468,                 0.7678,                0.54195,                 1.0557,                 1.0107,                 1.0732,              0.0065266,              0.0065266,              0.0065266
                      3,                 1.2143,                 1.1733,                 1.1994,                0.69489,                  0.566,                0.61313,                0.38802,                 1.3743,                 1.5849,                 1.2838,              0.0095961,              0.0095961,              0.0095961
                      4,                 1.2539,                 1.1854,                 1.2438,                0.86361,                0.69649,                0.77876,                0.55021,                 1.0816,                0.98368,                 1.1277,               0.009406,               0.009406,               0.009406
                      5,                 1.1515,                 1.0522,                 1.1964,                0.80848,                0.75141,                0.81233,                 0.5841,                0.99104,                 0.8415,                 1.0793,               0.009208,               0.009208,               0.009208
                      6,                 1.0808,                0.97563,                 1.1572,                0.87403,                  0.798,                0.84838,                 0.6324,                0.88359,                0.72951,                 1.0354,                0.00901,                0.00901,                0.00901
                      7,                 1.0407,                0.92168,                 1.1367,                0.86617,                0.80254,                0.85043,                0.63094,                0.89583,                0.73493,                 1.0452,               0.008812,               0.008812,               0.008812
                      8,                 1.0122,                0.89111,                 1.1262,                0.90592,                  0.826,                0.88561,                 0.6834,                0.81624,                0.64171,                0.99239,               0.008614,               0.008614,               0.008614
                      9,                0.99196,                0.86309,                 1.1159,                0.89757,                  0.834,                0.88151,                0.69792,                0.79129,                0.59224,                 0.9868,               0.008416,               0.008416,               0.008416
                     10,                0.96898,                  0.841,                 1.1029,                0.89273,                  0.816,                0.87586,                0.68371,                0.81008,                 0.6072,                0.99127,               0.008218,               0.008218,               0.008218
                     11,                0.95151,                0.82555,                 1.0989,                0.92375,                   0.85,                0.91255,                0.72359,                0.73501,                0.54406,                0.93927,                0.00802,                0.00802,                0.00802
                     12,                0.93707,                0.80334,                 1.0866,                0.90698,                  0.864,                0.91263,                0.73469,                0.70533,                0.52157,                0.94126,               0.007822,               0.007822,               0.007822
                     13,                0.91845,                0.78315,                 1.0807,                 0.9183,                0.83176,                0.90002,                0.72489,                0.70692,                0.53977,                 0.9315,               0.007624,               0.007624,               0.007624
                     14,                0.91139,                0.77453,                 1.0721,                0.91014,                  0.871,                0.93058,                0.75641,                0.66476,                0.48902,                0.91364,               0.007426,               0.007426,               0.007426
                     15,                0.89778,                 0.7696,                 1.0654,                0.94444,                0.84991,                0.93122,                0.76483,                0.65932,                0.47471,                0.89943,               0.007228,               0.007228,               0.007228
                     16,                0.88825,                0.74904,                 1.0593,                0.92847,                0.88259,                  0.932,                0.76471,                0.65811,                0.47076,                0.91463,                0.00703,                0.00703,                0.00703
                     17,                 0.8745,                0.73812,                 1.0566,                0.93247,                0.85613,                0.93497,                0.76757,                0.63818,                0.46525,                0.89735,               0.006832,               0.006832,               0.006832
                     18,                0.86795,                0.73333,                 1.0546,                0.92605,                  0.878,                0.93795,                0.77905,                0.62164,                0.44012,                0.89303,               0.006634,               0.006634,               0.006634
                     19,                0.86175,                0.73033,                 1.0482,                0.94943,                0.86354,                0.93673,                0.77825,                0.61031,                0.43158,                0.88573,               0.006436,               0.006436,               0.006436
                     20,                0.85578,                0.71781,                 1.0461,                0.95335,                  0.874,                0.94171,                0.78403,                0.60779,                0.41875,                0.88124,               0.006238,               0.006238,               0.006238
                     21,                0.84835,                 0.7159,                 1.0421,                0.94254,                  0.876,                0.94271,                0.78765,                0.60109,                0.41887,                0.88371,                0.00604,                0.00604,                0.00604
                     22,                0.83714,                0.70151,                 1.0376,                0.96033,                0.87144,                0.94647,                0.79948,                0.57835,                0.40698,                0.86864,               0.005842,               0.005842,               0.005842
                     23,                0.82519,                0.69352,                 1.0294,                0.95631,                  0.874,                0.94706,                0.79514,                0.58825,                0.40147,                0.87354,               0.005644,               0.005644,               0.005644
                     24,                0.82427,                0.68616,                 1.0311,                0.94979,                0.87022,                0.94873,                0.80206,                 0.5756,                0.39716,                0.86426,               0.005446,               0.005446,               0.005446
                     25,                0.81625,                0.68397,                 1.0315,                 0.9583,                  0.862,                0.94421,                0.79743,                0.57026,                0.40077,                0.86009,               0.005248,               0.005248,               0.005248
                     26,                0.81114,                0.68019,                 1.0283,                0.95655,                0.88066,                0.94292,                0.80197,                0.55932,                0.39562,                0.85897,                0.00505,                0.00505,                0.00505
                     27,                0.80838,                0.67413,                  1.024,                0.96384,                  0.874,                0.95015,                0.80824,                0.55086,                0.39216,                0.85658,               0.004852,               0.004852,               0.004852
                     28,                0.79794,                0.66019,                 1.0183,                0.95048,                  0.883,                0.95529,                0.81448,                0.53789,                0.38404,                0.84707,               0.004654,               0.004654,               0.004654
