                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0697,                 1.3349,                 1.1438,                0.88939,                0.78798,                0.86847,                0.66373,                0.80931,                0.64641,                0.94425,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.0228,                0.91522,                 1.1048,                0.84859,                  0.682,                0.77852,                0.55397,                 1.0168,                0.87054,                 1.0592,              0.0065266,              0.0065266,              0.0065266
                      3,                  1.224,                 1.1207,                 1.2003,                 0.7444,                0.59411,                0.66153,                0.42696,                 1.3333,                 1.3412,                 1.2685,              0.0095961,              0.0095961,              0.0095961
                      4,                 1.2934,                 1.1939,                 1.2461,                0.76236,                  0.692,                0.74891,                0.50884,                 1.1828,                0.98569,                 1.1581,               0.009406,               0.009406,               0.009406
                      5,                 1.2045,                 1.0838,                 1.2004,                0.83714,                  0.754,                0.82109,                0.58411,                 1.0208,                0.85771,                 1.0971,               0.009208,               0.009208,               0.009208
                      6,                 1.1137,                0.98149,                 1.1582,                 0.8285,                0.74398,                0.80205,                0.57632,                 1.0184,                0.85221,                 1.0937,                0.00901,                0.00901,                0.00901
                      7,                 1.0595,                0.93672,                 1.1364,                0.85433,                  0.772,                0.84622,                0.61815,                0.92938,                0.74641,                  1.044,               0.008812,               0.008812,               0.008812
                      8,                 1.0245,                0.88787,                 1.1136,                0.86173,                0.78525,                0.86388,                0.64759,                0.86963,                0.70231,                 1.0013,               0.008614,               0.008614,               0.008614
                      9,                 1.0035,                  0.865,                 1.1119,                0.89532,                  0.824,                0.88815,                0.68873,                0.81202,                0.60261,                0.98696,               0.008416,               0.008416,               0.008416
                     10,                 0.9736,                0.83285,                 1.0928,                0.90741,                  0.844,                0.89855,                0.71463,                0.75313,                0.57566,                0.95767,               0.008218,               0.008218,               0.008218
                     11,                0.95991,                0.81791,                 1.0852,                0.90826,                  0.844,                 0.9105,                 0.7213,                0.73073,                0.56302,                0.93279,                0.00802,                0.00802,                0.00802
