                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1388,                 2.5724,                 1.2377,                0.74291,                0.71663,                0.74893,                0.54381,                 1.0494,                 1.1993,                 1.1413,              0.0033271,              0.0033271,              0.0033271
                      2,                 1.0899,                  1.184,                 1.2063,                0.67744,                  0.512,                0.55208,                0.39968,                 1.2257,                 1.6172,                 1.3023,              0.0065286,              0.0065286,              0.0065286
                      3,                 1.2575,                 1.2445,                 1.3034,                0.73598,                   0.63,                0.69118,                 0.4699,                 1.3747,                 1.3726,                 1.3866,               0.009598,               0.009598,               0.009598
                      4,                 1.2723,                 1.2487,                  1.327,                0.81688,                0.74049,                0.80187,                0.58394,                 1.1257,                0.91175,                 1.1928,               0.009406,               0.009406,               0.009406
                      5,                 1.1719,                 1.1197,                 1.2722,                0.85123,                0.80105,                0.84929,                0.62907,                0.97865,                 0.7997,                 1.1012,               0.009208,               0.009208,               0.009208
                      6,                 1.0999,                 1.0219,                 1.2309,                0.83509,                0.81025,                0.85317,                0.64389,                0.97161,                0.78202,                 1.1054,                0.00901,                0.00901,                0.00901
                      7,                  1.054,                0.97106,                 1.2019,                 0.8763,                   0.81,                0.86671,                0.66193,                0.92041,                 0.7339,                 1.0803,               0.008812,               0.008812,               0.008812
                      8,                 1.0189,                0.92989,                 1.1843,                0.91322,                  0.832,                0.89238,                0.68933,                0.88113,                0.67765,                 1.0507,               0.008614,               0.008614,               0.008614
                      9,                0.99088,                0.88643,                 1.1631,                0.88044,                  0.852,                0.90662,                 0.7241,                0.78646,                 0.6341,                 1.0111,               0.008416,               0.008416,               0.008416
                     10,                0.96295,                0.86236,                 1.1509,                0.90357,                  0.854,                0.90929,                0.73518,                0.76375,                 0.5869,                 1.0046,               0.008218,               0.008218,               0.008218
                     11,                0.94323,                0.84174,                 1.1432,                 0.9113,                0.86298,                0.92204,                0.74596,                0.74934,                0.56179,                0.98979,                0.00802,                0.00802,                0.00802
                     12,                0.92738,                0.82579,                 1.1355,                0.91245,                0.85459,                0.92069,                0.75778,                0.72884,                0.54844,                0.98303,               0.007822,               0.007822,               0.007822
                     13,                0.90787,                0.80177,                 1.1206,                 0.8898,                0.88819,                0.93503,                0.76609,                0.71148,                0.52098,                0.97014,               0.007624,               0.007624,               0.007624
                     14,                0.89151,                0.78315,                 1.1089,                0.93731,                0.86724,                0.93212,                0.77777,                0.68777,                0.52267,                0.95607,               0.007426,               0.007426,               0.007426
