                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.083,                 2.6208,                 1.2075,                0.84613,                0.76988,                0.83572,                0.64095,                0.85451,                 1.0957,                 1.0312,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.0256,                 1.1467,                 1.1775,                0.85398,                  0.732,                0.79759,                0.57474,                0.98429,                0.93933,                 1.1237,              0.0065266,              0.0065266,              0.0065266
                      3,                 1.1521,                 1.1495,                 1.2595,                0.74877,                  0.482,                0.54281,                0.35013,                 1.4434,                  1.852,                  1.482,              0.0095961,              0.0095961,              0.0095961
                      4,                 1.1728,                 1.1389,                 1.2868,                0.80596,                 0.7227,                0.78858,                0.56097,                 1.0248,                0.98685,                 1.1671,               0.009406,               0.009406,               0.009406
                      5,                 1.0807,                 1.0171,                 1.2337,                0.84459,                  0.776,                0.84489,                0.62949,                0.94447,                 0.7879,                 1.1384,               0.009208,               0.009208,               0.009208
                      6,                  1.014,                0.94637,                 1.2017,                0.88642,                  0.806,                0.87114,                0.67097,                0.85018,                0.70142,                 1.0614,                0.00901,                0.00901,                0.00901
                      7,                0.97278,                0.89222,                 1.1781,                0.92072,                  0.816,                0.88959,                0.70066,                0.78773,                 0.6519,                 1.0299,               0.008812,               0.008812,               0.008812
                      8,                0.94163,                 0.8535,                 1.1571,                0.89308,                  0.864,                0.90431,                0.71765,                0.76547,                0.61359,                 1.0222,               0.008614,               0.008614,               0.008614
                      9,                0.91761,                0.82169,                 1.1469,                0.93332,                  0.844,                0.92315,                0.75217,                0.70346,                0.55985,                0.98772,               0.008416,               0.008416,               0.008416
                     10,                0.89584,                0.79877,                 1.1299,                0.91916,                0.84138,                0.92331,                0.73455,                0.72429,                0.55569,                0.99978,               0.008218,               0.008218,               0.008218
                     11,                0.87923,                0.77896,                 1.1246,                0.92734,                  0.852,                 0.9251,                0.76265,                0.68027,                0.52567,                0.96022,                0.00802,                0.00802,                0.00802
                     12,                0.86359,                0.75727,                 1.1107,                0.91992,                  0.874,                0.94047,                0.77683,                0.68036,                0.48719,                0.96914,               0.007822,               0.007822,               0.007822
                     13,                0.84937,                0.74344,                 1.1052,                0.94026,                0.88143,                0.94107,                0.78762,                 0.6293,                0.47168,                0.94131,               0.007624,               0.007624,               0.007624
                     14,                0.82879,                0.72575,                 1.0935,                0.93147,                  0.888,                0.94094,                0.79517,                0.60799,                 0.4508,                0.92749,               0.007426,               0.007426,               0.007426
                     15,                0.82233,                0.71787,                 1.0904,                0.91525,                  0.898,                 0.9401,                0.79419,                0.61338,                0.46264,                0.92872,               0.007228,               0.007228,               0.007228
                     16,                0.80842,                0.70106,                 1.0832,                0.94747,                  0.874,                0.95292,                0.81433,                0.57614,                 0.4313,                0.91078,                0.00703,                0.00703,                0.00703
                     17,                0.80549,                0.69221,                 1.0802,                0.95453,                0.88176,                 0.9558,                0.82364,                0.55997,                0.40792,                0.91288,               0.006832,               0.006832,               0.006832
                     18,                0.79389,                0.68425,                 1.0721,                0.95663,                 0.8822,                0.95696,                0.82038,                0.55819,                0.39945,                0.90493,               0.006634,               0.006634,               0.006634
                     19,                0.78496,                0.67004,                  1.067,                0.96079,                   0.89,                0.96061,                0.83638,                0.53766,                0.39468,                0.89655,               0.006436,               0.006436,               0.006436
                     20,                0.77268,                0.66093,                 1.0618,                0.94022,                  0.894,                0.95646,                 0.8286,                 0.5496,                0.40139,                0.90261,               0.006238,               0.006238,               0.006238
                     21,                0.77416,                0.65491,                 1.0612,                0.95317,                0.89553,                0.96175,                0.84263,                0.52738,                  0.378,                0.88355,                0.00604,                0.00604,                0.00604
                     22,                0.76322,                0.65195,                  1.055,                0.96722,                0.88506,                0.96687,                0.83689,                0.53471,                0.36272,                 0.8806,               0.005842,               0.005842,               0.005842
                     23,                0.75996,                0.64331,                 1.0567,                0.95133,                0.89917,                0.96284,                0.83962,                0.51504,                0.35996,                0.87789,               0.005644,               0.005644,               0.005644
                     24,                0.74964,                0.63655,                 1.0489,                0.95696,                  0.896,                 0.9684,                0.84811,                0.50596,                0.34685,                0.87623,               0.005446,               0.005446,               0.005446
                     25,                0.73567,                0.62616,                 1.0376,                0.97056,                  0.894,                0.97058,                0.85129,                0.50588,                0.34297,                0.87023,               0.005248,               0.005248,               0.005248
                     26,                0.73661,                0.62161,                 1.0424,                0.94595,                   0.93,                0.97014,                0.85212,                0.49835,                0.34517,                 0.8714,                0.00505,                0.00505,                0.00505
                     27,                0.72537,                0.61614,                 1.0355,                0.96384,                0.90615,                0.97063,                0.85424,                0.48782,                0.33612,                0.86291,               0.004852,               0.004852,               0.004852
                     28,                0.72395,                0.60981,                  1.035,                0.95625,                0.91795,                0.96946,                0.85751,                0.47814,                 0.3327,                0.85675,               0.004654,               0.004654,               0.004654
                     29,                0.71451,                 0.6058,                 1.0269,                0.95254,                0.92317,                0.96712,                0.85408,                 0.4806,                 0.3276,                0.85743,               0.004456,               0.004456,               0.004456
                     30,                0.70793,                 0.5933,                  1.026,                0.95642,                0.92181,                0.96845,                0.85686,                0.47719,                0.32645,                0.85369,               0.004258,               0.004258,               0.004258
                     31,                0.70432,                0.59305,                  1.026,                0.95278,                0.92811,                0.97137,                 0.8619,                0.46736,                0.31775,                0.85107,                0.00406,                0.00406,                0.00406
                     32,                0.69476,                0.58525,                 1.0197,                0.97142,                  0.914,                0.97154,                0.86535,                0.47116,                0.31507,                0.85151,               0.003862,               0.003862,               0.003862
                     33,                0.68964,                0.57818,                 1.0178,                 0.9782,                  0.916,                0.97404,                0.86687,                0.46927,                0.30889,                0.84849,               0.003664,               0.003664,               0.003664
                     34,                 0.6783,                0.56519,                 1.0111,                0.97448,                0.91652,                0.97574,                 0.8655,                0.47049,                0.30944,                0.84827,               0.003466,               0.003466,               0.003466
                     35,                0.68457,                0.57179,                 1.0144,                0.95488,                0.93118,                0.97555,                   0.87,                0.46651,                0.30596,                0.84712,               0.003268,               0.003268,               0.003268
