                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0233,                  1.333,                 1.1935,                0.85267,                  0.814,                0.85524,                 0.6554,                0.85135,                0.73337,                 1.0339,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.0133,                0.92406,                 1.1688,                0.85796,                  0.764,                0.82253,                0.61015,                0.94887,                0.82881,                 1.1086,              0.0065306,              0.0065306,              0.0065306
                      3,                 1.1497,                 1.0856,                 1.2432,                0.72844,                  0.602,                0.64423,                0.41765,                 1.3628,                 1.3322,                 1.3478,                 0.0096,                 0.0096,                 0.0096
                      4,                 1.2376,                 1.1696,                 1.3055,                0.83014,                   0.77,                0.83312,                0.59816,                0.99063,                0.85143,                 1.1392,               0.009406,               0.009406,               0.009406
                      5,                 1.1344,                   1.06,                 1.2498,                0.82207,                0.79469,                0.84587,                0.62444,                0.94358,                0.77364,                 1.1159,               0.009208,               0.009208,               0.009208
                      6,                 1.0565,                0.96451,                 1.2032,                0.89037,                0.82843,                0.88738,                0.68334,                0.86373,                0.67642,                 1.0698,                0.00901,                0.00901,                0.00901
                      7,                 1.0151,                0.91515,                 1.1815,                0.88798,                  0.842,                0.89402,                0.70209,                 0.8121,                0.66442,                 1.0309,               0.008812,               0.008812,               0.008812
                      8,                0.97198,                0.87215,                 1.1602,                0.91694,                  0.838,                0.91385,                0.72157,                0.77691,                0.62184,                 1.0068,               0.008614,               0.008614,               0.008614
                      9,                0.95583,                0.84878,                 1.1495,                0.90827,                   0.85,                0.91372,                0.73356,                0.76255,                0.57822,                 1.0086,               0.008416,               0.008416,               0.008416
                     10,                0.92805,                0.81392,                  1.137,                0.90039,                  0.874,                0.93278,                0.76194,                0.70286,                0.52796,                 0.9677,               0.008218,               0.008218,               0.008218
                     11,                0.89762,                0.78647,                 1.1185,                0.92188,                  0.868,                0.92576,                0.76398,                0.68653,                0.53034,                 0.9601,                0.00802,                0.00802,                0.00802
                     12,                0.88235,                0.76984,                 1.1128,                0.94771,                  0.858,                0.93189,                0.77463,                0.66551,                 0.5098,                0.95499,               0.007822,               0.007822,               0.007822
