                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54207,                0.45921,                0.97376,                0.98274,                  0.942,                0.98303,                0.89121,                0.42203,                0.27151,                0.79479,              0.0033251,              0.0033251,              0.0033251
                      2,                0.55328,                0.46524,                0.97532,                0.99139,                0.92137,                0.98117,                0.88186,                0.45935,                0.30402,                0.80945,              0.0066255,              0.0066255,              0.0066255
                      3,                0.59464,                0.50716,                0.99263,                0.93944,                0.86867,                0.94492,                0.80485,                0.57366,                0.44628,                0.87834,              0.0098928,              0.0098928,              0.0098928
                      4,                0.64967,                 0.5613,                 1.0223,                0.95362,                   0.87,                0.94431,                0.80541,                0.58908,                0.42777,                0.88625,              0.0098515,              0.0098515,              0.0098515
                      5,                0.65897,                0.57114,                 1.0254,                0.93316,                0.89349,                0.94928,                0.81664,                0.54825,                0.43224,                0.87183,               0.009802,               0.009802,               0.009802
                      6,                0.65445,                0.57126,                 1.0228,                0.90442,                  0.882,                0.93487,                0.80227,                0.59052,                0.45899,                0.89532,              0.0097525,              0.0097525,              0.0097525
                      7,                0.65693,                0.57222,                 1.0255,                0.96085,                0.88347,                0.95081,                0.80887,                0.57524,                0.44662,                0.87521,               0.009703,               0.009703,               0.009703
                      8,                0.65322,                0.56974,                 1.0229,                0.94742,                   0.89,                0.94673,                0.81103,                0.55748,                0.43212,                0.88056,              0.0096535,              0.0096535,              0.0096535
                      9,                0.65451,                0.57094,                 1.0247,                0.95433,                0.87761,                0.94513,                 0.8149,                 0.5512,                0.42944,                0.87842,               0.009604,               0.009604,               0.009604
                     10,                0.65546,                0.57117,                 1.0247,                0.92561,                  0.872,                0.92873,                0.78505,                0.59724,                0.46987,                0.90355,              0.0095545,              0.0095545,              0.0095545
                     11,                0.64876,                0.56022,                 1.0209,                0.95803,                  0.894,                0.96315,                0.82753,                0.54079,                0.39361,                0.86396,               0.009505,               0.009505,               0.009505
                     12,                0.65363,                 0.5629,                  1.024,                0.92814,                0.85243,                0.92545,                0.79369,                0.56874,                0.44632,                0.89345,              0.0094555,              0.0094555,              0.0094555
                     13,                0.64688,                0.56071,                 1.0229,                0.94151,                0.90136,                0.95078,                0.83732,                 0.5183,                0.37283,                0.86219,               0.009406,               0.009406,               0.009406
                     14,                0.65565,                0.56148,                  1.024,                0.93585,                  0.892,                0.94895,                0.83265,                0.52524,                0.39481,                0.85889,              0.0093565,              0.0093565,              0.0093565
                     15,                0.65008,                0.56376,                 1.0198,                0.97427,                0.90864,                0.97025,                0.85604,                0.49398,                0.33998,                0.84134,               0.009307,               0.009307,               0.009307
                     16,                0.65293,                 0.5658,                 1.0241,                0.95888,                  0.916,                0.97304,                0.85245,                0.50595,                0.34631,                0.84701,              0.0092575,              0.0092575,              0.0092575
                     17,                0.64321,                0.55739,                 1.0163,                0.94019,                0.94326,                0.97023,                0.86688,                0.47139,                0.33329,                0.82736,               0.009208,               0.009208,               0.009208
                     18,                0.64295,                0.55247,                 1.0154,                0.95796,                0.91137,                0.96327,                0.85776,                0.46402,                0.34379,                0.83011,              0.0091585,              0.0091585,              0.0091585
                     19,                0.64249,                0.55092,                 1.0185,                0.95582,                  0.934,                0.97475,                0.87846,                0.46006,                0.32213,                0.82108,               0.009109,               0.009109,               0.009109
                     20,                 0.6415,                0.55685,                  1.017,                0.98092,                0.92562,                0.97936,                0.87954,                0.45349,                0.30291,                0.81993,              0.0090595,              0.0090595,              0.0090595
                     21,                0.64125,                0.55621,                 1.0189,                0.98509,                  0.936,                0.98094,                0.88172,                 0.4408,                0.29088,                0.81145,                0.00901,                0.00901,                0.00901
                     22,                0.64643,                 0.5562,                 1.0188,                0.97689,                   0.92,                0.97799,                0.87939,                 0.4356,                0.29596,                 0.8072,              0.0089605,              0.0089605,              0.0089605
                     23,                0.63614,                0.55231,                 1.0147,                0.98359,                  0.928,                0.98022,                0.88267,                0.43579,                0.29227,                0.81018,               0.008911,               0.008911,               0.008911
                     24,                0.64238,                 0.5533,                  1.017,                0.96935,                0.94882,                0.98554,                0.89171,                0.42146,                0.28441,                0.80147,              0.0088615,              0.0088615,              0.0088615
                     25,                0.64125,                0.55266,                  1.017,                0.96321,                0.94243,                0.98456,                0.88722,                0.42853,                 0.2823,                0.80581,               0.008812,               0.008812,               0.008812
                     26,                0.64319,                0.55446,                 1.0156,                0.96621,                  0.952,                0.98351,                0.89308,                0.41892,                0.27781,                0.80387,              0.0087625,              0.0087625,              0.0087625
                     27,                0.63685,                 0.5489,                 1.0148,                0.97539,                0.95116,                0.98773,                0.89391,                0.41337,                0.27212,                0.79903,               0.008713,               0.008713,               0.008713
                     28,                0.64212,                0.55462,                 1.0155,                0.96729,                0.94625,                0.98246,                0.88711,                0.42322,                0.27936,                0.80423,              0.0086635,              0.0086635,              0.0086635
                     29,                0.63526,                0.54959,                 1.0133,                 0.9716,                  0.942,                 0.9839,                0.88794,                 0.4245,                 0.2811,                0.80282,               0.008614,               0.008614,               0.008614
                     30,                0.63889,                0.55048,                 1.0148,                0.97712,                0.93961,                0.98477,                0.88985,                0.41855,                0.27258,                0.80201,              0.0085645,              0.0085645,              0.0085645
                     31,                0.63684,                  0.544,                 1.0137,                0.97721,                0.94346,                0.98296,                0.89149,                0.41189,                0.26694,                0.80123,               0.008515,               0.008515,               0.008515
                     32,                0.63036,                0.54388,                 1.0106,                0.97331,                  0.954,                0.98522,                0.89252,                0.41003,                0.26694,                0.80108,              0.0084655,              0.0084655,              0.0084655
                     33,                0.63444,                0.54382,                 1.0133,                0.96437,                  0.952,                0.98234,                0.89379,                0.40511,                0.26633,                0.80008,               0.008416,               0.008416,               0.008416
                     34,                0.62839,                0.54386,                 1.0119,                0.98277,                  0.942,                0.98309,                0.89612,                0.40333,                0.26893,                0.79948,              0.0083665,              0.0083665,              0.0083665
                     35,                0.63252,                0.54596,                 1.0127,                0.98887,                  0.942,                0.98485,                0.89508,                0.40832,                0.26835,                0.80157,               0.008317,               0.008317,               0.008317
                     36,                0.63277,                0.54318,                 1.0124,                0.98068,                  0.944,                0.98339,                0.89607,                0.40522,                0.26373,                0.79806,              0.0082675,              0.0082675,              0.0082675
                     37,                0.62649,                0.54442,                 1.0088,                0.98478,                  0.938,                0.98194,                0.89546,                0.40346,                0.26552,                 0.7973,               0.008218,               0.008218,               0.008218
                     38,                0.63213,                0.54685,                 1.0109,                0.98734,                0.93587,                0.98233,                0.89633,                0.40233,                0.26108,                0.79577,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.6317,                 0.5413,                 1.0103,                0.98324,                  0.942,                0.98234,                0.89879,                0.39979,                 0.2574,                0.79474,               0.008119,               0.008119,               0.008119
                     40,                0.62543,                0.53888,                  1.007,                0.98543,                0.94695,                0.98386,                0.89891,                0.39848,                0.25414,                0.79419,              0.0080695,              0.0080695,              0.0080695
                     41,                0.62809,                0.54292,                 1.0094,                0.98342,                 0.9489,                0.98473,                0.89878,                0.40008,                0.25512,                0.79442,                0.00802,                0.00802,                0.00802
                     42,                0.62518,                0.53513,                 1.0068,                 0.9798,                  0.946,                0.98452,                0.89978,                0.40083,                0.25603,                0.79477,              0.0079705,              0.0079705,              0.0079705
                     43,                0.62829,                0.54344,                 1.0116,                0.97734,                0.94896,                0.98451,                0.89947,                0.40237,                0.25635,                0.79598,               0.007921,               0.007921,               0.007921
                     44,                0.62401,                0.54058,                  1.009,                0.97938,                0.94979,                0.98472,                0.89894,                0.40188,                0.25578,                0.79704,              0.0078715,              0.0078715,              0.0078715
                     45,                0.62708,                 0.5354,                 1.0066,                0.97788,                  0.948,                0.98555,                0.89925,                 0.4017,                0.25366,                0.79729,               0.007822,               0.007822,               0.007822
                     46,                0.62465,                0.53779,                 1.0063,                0.97875,                  0.948,                0.98549,                0.89947,                0.40238,                0.25364,                0.79763,              0.0077725,              0.0077725,              0.0077725
                     47,                0.62412,                  0.534,                 1.0083,                0.97868,                  0.948,                0.98565,                0.89991,                0.40287,                0.25393,                0.79821,               0.007723,               0.007723,               0.007723
