                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.054,                 2.6974,                 1.2343,                0.78551,                0.73978,                0.77788,                0.57639,                 0.9482,                 1.2435,                 1.0751,              0.0033251,              0.0033251,              0.0033251
                      2,                  1.001,                 1.1493,                 1.2072,                0.79905,                  0.716,                0.78533,                0.55996,                 1.0135,                0.94326,                 1.1376,              0.0066364,              0.0066364,              0.0066364
                      3,                 1.1343,                 1.1467,                 1.2942,                0.59874,                  0.502,                0.53081,                0.35745,                 1.4098,                 2.3071,                 1.4978,              0.0099258,              0.0099258,              0.0099258
                      4,                 1.1622,                 1.1511,                 1.3234,                0.82254,                  0.484,                0.54692,                0.41883,                  1.193,                 2.0049,                 1.4002,               0.009901,               0.009901,               0.009901
                      5,                 1.0594,                 1.0148,                 1.2679,                0.81322,                   0.82,                0.86525,                0.64039,                0.92983,                0.79738,                 1.1064,               0.009868,               0.009868,               0.009868
                      6,                0.97884,                0.92436,                 1.2194,                0.87329,                0.84086,                0.87066,                0.67035,                0.84427,                0.69361,                 1.0626,               0.009835,               0.009835,               0.009835
                      7,                0.94734,                0.88564,                 1.2027,                0.85016,                  0.776,                0.83439,                0.64059,                0.89325,                0.81337,                 1.0821,               0.009802,               0.009802,               0.009802
                      8,                0.91441,                0.84769,                 1.1842,                0.91649,                  0.842,                0.90508,                0.71576,                 0.7788,                0.60073,                 1.0215,               0.009769,               0.009769,               0.009769
                      9,                0.89114,                0.81907,                 1.1731,                0.88373,                  0.816,                0.88903,                0.71346,                0.75449,                0.61891,                 1.0171,               0.009736,               0.009736,               0.009736
                     10,                0.86762,                0.79469,                 1.1532,                0.91913,                0.86376,                 0.9268,                0.75478,                0.71623,                0.53503,                0.98783,               0.009703,               0.009703,               0.009703
                     11,                0.84807,                0.76982,                 1.1473,                0.90672,                0.87486,                 0.9198,                0.76076,                0.69166,                0.51265,                0.97026,                0.00967,                0.00967,                0.00967
                     12,                0.83636,                0.75445,                 1.1366,                0.94344,                0.86744,                0.93367,                0.76862,                0.65833,                 0.4958,                0.94178,               0.009637,               0.009637,               0.009637
                     13,                0.82399,                0.74595,                 1.1326,                0.93671,                0.85836,                0.93461,                0.76373,                0.67064,                0.50606,                0.95161,               0.009604,               0.009604,               0.009604
                     14,                0.81957,                0.73293,                 1.1265,                 0.8756,                  0.762,                0.85523,                0.70302,                0.71672,                0.65047,                0.98582,               0.009571,               0.009571,               0.009571
                     15,                 0.8127,                0.73316,                 1.1227,                0.93258,                  0.854,                0.93293,                0.78246,                0.63889,                0.48427,                0.94282,               0.009538,               0.009538,               0.009538
                     16,                 0.8024,                0.72568,                 1.1184,                0.97106,                0.87234,                0.95276,                0.80005,                 0.6115,                0.43491,                0.92896,               0.009505,               0.009505,               0.009505
